指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"12,100.48",+,103.34,0.86,,2020-01-02
發行量加權股價指數,"12,110.43",+,9.95,0.08,,2020-01-03
發行量加權股價指數,"11,953.36",-,157.07,-1.30,,2020-01-06
發行量加權股價指數,"11,880.32",-,73.04,-0.61,,2020-01-07
發行量加權股價指數,"11,817.10",-,63.22,-0.53,,2020-01-08
發行量加權股價指數,"11,970.63",+,153.53,1.30,,2020-01-09
發行量加權股價指數,"12,024.65",+,54.02,0.45,,2020-01-10
發行量加權股價指數,"12,113.42",+,88.77,0.74,,2020-01-13
發行量加權股價指數,"12,179.81",+,66.39,0.55,,2020-01-14
發行量加權股價指數,"12,091.88",-,87.93,-0.72,,2020-01-15
發行量加權股價指數,"12,066.93",-,24.95,-0.21,,2020-01-16
發行量加權股價指數,"12,090.29",+,23.36,0.19,,2020-01-17
發行量加權股價指數,"12,118.71",+,28.42,0.24,,2020-01-20
發行量加權股價指數,"11,421.74",-,696.97,-5.75,,2020-01-30
發行量加權股價指數,"11,495.10",+,73.36,0.64,,2020-01-31
